Cx,Cy,Cz,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.11277831485523114,2.9996949218908084e-05,1.089258556510755,0.11216814241496129,0.11044930982474357,-0.0002561178486999438,4.703121573129423e-06,-1.8366083722132907e-06,-5.3839960891766065e-06,0.9999999999727603,0.11216814241496066,-0.11043069017525643,-0.0002561178486999577,4.7031215731238906e-06,-1.8366083718524683e-06,-5.3839960890720115e-06,0.9999999999727603
0.11273840781607103,2.6319604982640935e-05,1.087170933013183,0.11216826939118013,0.11044930381082399,-0.00022905468225585535,4.711770197327471e-06,-1.8366098530285552e-06,-5.355539104616849e-06,0.9999999999728724,0.11216826874303668,-0.11043069619127815,-0.00022904153500266644,4.711771971670508e-06,-1.8366098528620217e-06,-5.355532631790338e-06,0.9999999999728724
0.11260705321056792,2.1587907262588047e-05,1.0849411581615198,0.11216729178100568,0.11044931446331287,-0.00028411692715027415,4.6958251013132805e-06,-1.8366073051919934e-06,-5.4078987345686405e-06,0.9999999999726656,0.11216729176413884,-0.11043068553570975,-0.0002841279154075643,4.695823968192267e-06,-1.8366073047756598e-06,-5.40790303099211e-06,0.9999999999726656
0.1124708248915819,1.7299636045412612e-05,1.0827628784763712,0.11216860295477067,0.11044932323472656,-0.0002971465759254721,4.685939761851023e-06,-1.8366039030386452e-06,-5.437613463197384e-06,0.9999999999725508,0.11216860459668068,-0.11043067675979089,-0.00029716885423379524,4.6859356070873575e-06,-1.8366039025390449e-06,-5.4376272624339615e-06,0.9999999999725508
0.1123616435572336,1.3980197256165549e-05,1.0805938040242655,0.11216961944634712,0.11044933237904246,-0.0003286751417635042,4.675383564984183e-06,-1.8366015605376898e-06,-5.470403297184007e-06,0.9999999999724214,0.11216962294363406,-0.11043066761116936,-0.00032871592014895035,4.675376709026876e-06,-1.836601559482978e-06,-5.4704247985889e-06,0.9999999999724214
0.11228335968260149,1.1666683113747099e-05,1.078460502693109,0.11217085385286592,0.11044933727168013,-0.00034829737492012014,4.669322618851406e-06,-1.8366005545508514e-06,-5.487694198206392e-06,0.9999999999723551,0.1121708590829737,-0.11043066271614338,-0.00034834958363667845,4.669314240509045e-06,-1.8366005537043063e-06,-5.487719277508317e-06,0.999999999972355
0.11223260728734213,1.0199241363879033e-05,1.0763461898244553,0.11217197502862464,0.11044934053291845,-0.0003717452427353801,4.66500057214503e-06,-1.836600000757817e-06,-5.500112546809861e-06,0.999999999972307,0.11217198175924413,-0.11043065945360607,-0.00037180862333663356,4.664991222597324e-06,-1.836599999744739e-06,-5.500139758699691e-06,0.9999999999723068
0.1122029161770413,9.360871165355364e-06,1.0742537811702868,0.11217308844358151,0.11044934158006782,-0.00039132702930430585,4.662884420502808e-06,-1.836599784944375e-06,-5.505458464090655e-06,0.9999999999722874,0.11217309642562957,-0.11043065840608823,-0.0003913978675349622,4.662874600667072e-06,-1.836599784361508e-06,-5.505486557277085e-06,0.9999999999722873
0.11218839119949714,8.94937974133426e-06,1.0721763244329625,0.11217418121860549,0.11044934175689387,-0.0004111843365440654,4.661788809844917e-06,-1.8365995907247514e-06,-5.508036610983731e-06,0.9999999999722783,0.11217419025769318,-0.11043065822924704,-0.00041126146629440197,4.661778710885324e-06,-1.8365995903222955e-06,-5.508065297213413e-06,0.9999999999722783
0.11218390586009873,8.802383277545147e-06,1.0701125256660378,0.112175275633085,0.11044934116571518,-0.00042941999261059127,4.66149138059191e-06,-1.8365994509199161e-06,-5.508238183977165e-06,0.9999999999722786,0.1121752855776767,-0.11043065882062997,-0.000429501653975789,4.661481138499367e-06,-1.8365994503370495e-06,-5.508267223721399e-06,0.9999999999722784
